Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type,Store_Age,Price_Per_Weight,Product_Store_Sales_Total
13.64,1,0.071,9,157.1,2009,1,1,3,15,11.516750971336412,3882.69
10.03,0,0.016,5,126.66,1987,0,1,2,37,12.626856744093311,2444.17
12.26,0,0.14,13,138.27,2009,1,1,3,15,11.277220455101544,3185.13
10.28,0,0.143,3,147.44,2009,1,1,3,15,14.34101741075771,2926.08
16.38,0,0.082,0,205.16,1999,1,0,0,25,12.524265917831634,5485.4
13.37,0,0.113,0,137.21,2009,1,1,3,15,10.261760526512603,3414.5
11.8,2,0.029,1,144.64,2009,1,1,3,15,12.256588424709769,3212.19
9.61,0,0.026,13,161.79,2009,1,1,3,15,16.83383622932057,3920.35
11.98,0,0.086,6,125.08,2009,1,1,3,15,10.439863116601286,2851.97
11.5,0,0.039,4,159.66,2009,1,1,3,15,13.882271106860273,3451.32
12.66,2,0.153,3,151.92,2009,1,1,3,15,11.999052207566542,3554.37
9.18,2,0.171,4,115.82,1998,2,2,1,26,12.615183531205751,2030.87
13.61,1,0.03,9,146.14,2009,1,1,3,15,10.736903974726324,3652.07
13.18,1,0.059,8,178.63,1999,1,0,0,25,13.552082543054397,4219.6
13.18,0,0.056,6,164.71,2009,1,1,3,15,12.496016994158259,3934.13
10.56,2,0.012,0,131.37,2009,1,1,3,15,12.439162958053215,2660.86
15.45,1,0.036,9,166.22,1999,1,0,0,25,10.757879748883568,4476.99
15.4,0,0.128,6,177.14,1987,0,1,2,37,11.501850529186417,4690.32
13.89,0,0.047,10,153.26,2009,1,1,3,15,11.033042977467424,3859.63
13.31,0,0.1,13,160.34,2009,1,1,3,15,12.045676508151153,3874.03
10.43,2,0.077,13,119.8,1999,1,0,0,25,11.484996644617008,5202.19
12.73,0,0.056,6,144.22,2009,1,1,3,15,11.328253868509936,3412.48
10.95,0,0.027,5,120.35,2009,1,1,3,15,10.989863939366268,2521.93
13.64,2,0.016,4,155.99,2009,1,1,3,15,11.435378637929771,3859.26
13.7,1,0.016,8,136.46,2009,1,1,3,15,9.95985694474856,3473.05
12.74,2,0.025,13,121.39,2009,1,1,3,15,9.527509614629935,2947.95
16.86,0,0.061,6,217.5,1999,1,0,0,25,12.899590771603107,5845.41
11.69,0,0.076,5,141.63,2009,1,1,3,15,12.114447010520914,3125.59
11.76,0,0.124,5,185.36,1987,0,1,2,37,15.760564577842022,4034.76
12.78,0,0.058,13,181.08,1987,0,1,2,37,14.16790548470386,4177.68
18.01,1,0.012,8,229.54,1999,1,0,0,25,12.74443395702626,6352.98
9.99,0,0.04,7,97.16,1998,2,2,1,26,9.724752277049344,1832.13
10.09,1,0.02,9,116.0,1998,2,2,1,26,11.495391933406006,2239.69
11.0,2,0.078,14,167.49,2009,1,1,3,15,15.224979547313882,3498.89
9.5,0,0.05,6,80.23,1998,2,2,1,26,8.44437427639196,1375.0
13.61,2,0.056,6,135.29,2009,1,1,3,15,9.939754610241717,3430.23
12.14,0,0.09,0,95.05,1998,2,2,1,26,7.8288444114982285,2273.91
11.73,2,0.048,14,122.21,2009,1,1,3,15,10.417696701048504,2737.89
15.2,0,0.013,0,164.09,1999,1,0,0,25,10.794684560226303,4378.47
14.23,2,0.057,14,156.52,1987,0,1,2,37,10.998524348253813,4004.4
12.95,2,0.114,0,134.98,2009,1,1,3,15,10.422361207628756,3272.89
13.13,2,0.095,13,116.75,2009,1,1,3,15,8.891173558754094,2942.07
12.83,0,0.011,4,150.54,2009,1,1,3,15,11.732522796352583,3566.16
10.84,0,0.049,10,124.93,1998,2,2,1,26,11.523844663776405,1215.18
10.92,0,0.052,6,100.26,1998,2,2,1,26,9.180477978207126,2104.26
13.68,0,0.022,3,169.62,1987,0,1,2,37,12.398216504641475,4148.76
13.02,1,0.02,8,136.03,2009,1,1,3,15,10.446970278780432,3311.89
11.73,0,0.128,14,137.31,2009,1,1,3,15,11.704884494075527,3044.98
13.31,0,0.066,6,162.29,2009,1,1,3,15,12.192171887912252,3914.8
11.68,2,0.142,6,142.45,2009,1,1,3,15,12.195017549867305,3139.58
11.73,0,0.144,3,164.52,2009,1,1,3,15,14.024379848265282,3602.16
12.28,1,0.012,9,206.85,1987,0,1,2,37,16.843090953505417,4593.12
10.86,0,0.058,13,161.79,2009,1,1,3,15,14.896418377681615,3349.31
11.77,0,0.025,4,152.22,1999,1,0,0,25,12.93178149689916,5751.8
17.11,2,0.065,13,180.36,1999,1,0,0,25,10.540587925895624,5141.68
11.49,2,0.11,13,135.98,2009,1,1,3,15,11.833608911321903,3990.5
13.31,2,0.074,13,134.89,2009,1,1,3,15,10.133723987679362,3354.07
10.89,2,0.142,5,112.77,1987,0,1,2,37,10.35442108162703,2354.38
15.26,0,0.168,0,173.03,1987,0,1,2,37,11.33805124172728,4574.15
8.27,1,0.075,8,156.11,2009,1,1,3,15,18.874380365131184,2649.21
14.88,2,0.099,3,146.81,2009,1,1,3,15,9.865600430078624,3951.97
12.44,0,0.093,4,137.86,1998,2,2,1,26,11.081102805240738,552.0
